bioguide_id,full_name,party,state,chamber,aipac_2024,aipac_featured,aipac_2022,aipac_2025,aipac_total_all_years
B001309,"Burchett, Tim",Republican,Tennessee,HOUSE,10834.0,0,10000.0,0.0,20834.0
C001061,"Cleaver, Emanuel",Democratic,Missouri,HOUSE,10000.0,0,10000.0,0.0,20000.0
K000393,"Kennedy, John",Republican,Louisiana,SENATE,0.0,0,19800.0,0.0,19800.0
M001163,"Matsui, Doris O.",Democratic,California,HOUSE,11322.0,0,7900.0,0.0,19222.0
R000395,"Rogers, Harold",Republican,Kentucky,HOUSE,10500.0,0,7900.0,0.0,18400.0
S001188,"Stutzman, Marlin A.",Republican,Indiana,HOUSE,18300.0,0,0.0,0.0,18300.0
H001102,"Harris, Mark",Republican,North Carolina,HOUSE,18250.0,0,0.0,0.0,18250.0
C001136,"Conaway, Herbert C.",Democratic,New Jersey,HOUSE,18001.0,0,0.0,0.0,18001.0
M001215,"Miller-Meeks, Mariannette",Republican,Iowa,HOUSE,10000.0,0,7900.0,33.43,17933.43
J000295,"Joyce, David P.",Republican,Ohio,HOUSE,10000.0,0,7900.0,0.0,17900.0
H001081,"Hayes, Jahana",Democratic,Connecticut,HOUSE,600.0,0,14900.0,0.0,15500.0
S001208,"Slotkin, Elissa",Democratic,Michigan,SENATE,1025.0,0,14300.0,0.0,15325.0
H001077,"Higgins, Clay",Republican,Louisiana,HOUSE,5000.0,0,10000.0,0.0,15000.0
J000312,"Justice, James C.",Republican,West Virginia,SENATE,14500.0,0,0.0,0.0,14500.0
H001094,"Hoyle, Val T.",Democratic,Oregon,HOUSE,0.0,0,12990.0,0.0,12990.0
J000309,"Jackson, Jonathan L.",Democratic,Illinois,HOUSE,2900.0,0,10000.0,0.0,12900.0
R000621,"Randall, Emily",Democratic,Washington,HOUSE,12800.0,0,0.0,0.0,12800.0
A000381,"Ansari, Yassamin",Democratic,Arizona,HOUSE,11450.0,0,0.0,0.0,11450.0
K000405,"Knott, Brad",Republican,North Carolina,HOUSE,10000.0,0,0.0,1000.0,11000.0
O000176,"Olszewski, Johnny",Democratic,Maryland,HOUSE,10500.0,0,0.0,0.0,10500.0
K000403,"Kennedy, Mike",Republican,Utah,HOUSE,10000.0,0,0.0,250.0,10250.0
L000577,"Lee, Mike",Republican,Utah,SENATE,0.0,0,10000.0,0.0,10000.0
D000634,"Downing, Troy",Republican,Montana,HOUSE,10000.0,0,0.0,0.0,10000.0
T000490,"Taylor, David J.",Republican,Ohio,HOUSE,10000.0,0,0.0,0.0,10000.0
B001325,"Biggs, Sheri",Republican,South Carolina,HOUSE,10000.0,0,0.0,0.0,10000.0
L000491,"Lucas, Frank D.",Republican,Oklahoma,HOUSE,10000.0,0,0.0,0.0,10000.0
R000619,"Rulli, Michael A.",Republican,Ohio,HOUSE,10000.0,0,0.0,0.0,10000.0
F000480,"Fong, Vince",Republican,California,HOUSE,10000.0,0,0.0,0.0,10000.0
T000482,"Trahan, Lori",Democratic,Massachusetts,HOUSE,0.0,0,10000.0,0.0,10000.0
N000002,"Nadler, Jerrold",Democratic,New York,HOUSE,1800.0,0,7900.0,0.0,9700.0
E000299,"Escobar, Veronica",Democratic,Texas,HOUSE,0.0,0,8700.0,0.0,8700.0
J000293,"Johnson, Ron",Republican,Wisconsin,SENATE,0.0,0,8450.0,0.0,8450.0
N000190,"Norman, Ralph",Republican,South Carolina,HOUSE,250.0,0,7900.0,0.0,8150.0
A000370,"Adams, Alma S.",Democratic,North Carolina,HOUSE,0.0,0,7900.0,0.0,7900.0
G000386,"Grassley, Chuck",Republican,Iowa,SENATE,0.0,0,7900.0,0.0,7900.0
B001236,"Boozman, John",Republican,Arkansas,SENATE,0.0,0,7900.0,0.0,7900.0
P000608,"Peters, Scott H.",Democratic,California,HOUSE,0.0,0,7900.0,0.0,7900.0
L000273,"Leger Fernandez, Teresa",Democratic,New Mexico,HOUSE,0.0,0,7900.0,0.0,7900.0
F000483,"Friedman, Laura",Democratic,California,HOUSE,7750.0,0,0.0,0.0,7750.0
N000026,"Nehls, Troy E.",Republican,Texas,HOUSE,5000.0,0,2100.0,0.0,7100.0
F000482,"Fedorchak, Julie",Republican,North Dakota,HOUSE,7000.0,0,0.0,0.0,7000.0
B001278,"Bonamici, Suzanne",Democratic,Oregon,HOUSE,2000.0,0,5000.0,0.0,7000.0
B001261,"Barrasso, John",Republican,Wyoming,SENATE,6000.0,0,0.0,0.0,6000.0
B000668,"Bentz, Cliff",Republican,Oregon,HOUSE,5750.0,0,0.0,0.0,5750.0
K000377,"Kelly, Mark",Democratic,Arizona,SENATE,500.0,0,5000.0,0.0,5500.0
S001229,"Shreve, Jefferson",Republican,Indiana,HOUSE,5000.0,0,0.0,0.0,5000.0
O000177,"Onder, Robert F.",Republican,Missouri,HOUSE,5000.0,0,0.0,0.0,5000.0
W000829,"Wied, Tony",Republican,Wisconsin,HOUSE,5000.0,0,0.0,0.0,5000.0
P000145,"Padilla, Alex",Democratic,California,SENATE,0.0,0,5000.0,0.0,5000.0
T000487,"Tokuda, Jill N.",Democratic,Hawaii,HOUSE,0.0,0,5000.0,0.0,5000.0
L000575,"Lankford, James",Republican,Oklahoma,SENATE,500.0,0,4200.0,0.0,4700.0
C001112,"Carbajal, Salud O.",Democratic,California,HOUSE,0.0,0,3900.0,0.0,3900.0
H001098,"Hamadeh, Abraham J.",Republican,Arizona,HOUSE,3505.0,0,0.0,0.0,3505.0
A000382,"Alsobrooks, Angela D.",Democratic,Maryland,SENATE,3225.0,0,0.0,0.0,3225.0
D000197,"DeGette, Diana",Democratic,Colorado,HOUSE,0.0,0,2900.0,0.0,2900.0
O000174,"Ossoff, Jon",Democratic,Georgia,SENATE,2450.0,0,0.0,0.0,2450.0
M001169,"Murphy, Christopher",Democratic,Connecticut,SENATE,1250.0,0,0.0,0.0,1250.0
B001230,"Baldwin, Tammy",Democratic,Wisconsin,SENATE,1175.0,0,0.0,0.0,1175.0
F000479,"Fetterman, John",Democratic,Pennsylvania,SENATE,1093.0,0,0.0,0.0,1093.0
B001303,"Blunt Rochester, Lisa",Democratic,Delaware,SENATE,1000.0,0,0.0,0.0,1000.0
D000635,"Dexter, Maxine",Democratic,Oregon,HOUSE,750.0,0,0.0,0.0,750.0
L000607,"Liccardo, Sam T.",Democratic,California,HOUSE,500.0,0,0.0,0.0,500.0
U000040,"Underwood, Lauren",Democratic,Illinois,HOUSE,500.0,0,0.0,0.0,500.0
D000631,"Dean, Madeleine",Democratic,Pennsylvania,HOUSE,0.0,0,500.0,0.0,500.0
W000830,"Whitesides, George",Democratic,California,HOUSE,383.0,0,0.0,0.0,383.0
W000790,"Warnock, Raphael G.",Democratic,Georgia,SENATE,0.0,0,246.0,0.0,246.0
K000384,"Kaine, Tim",Democratic,Virginia,SENATE,150.0,0,0.0,0.0,150.0
B001326,"Bynum, Janelle S.",Democratic,Oregon,HOUSE,100.0,0,0.0,0.0,100.0
G000605,"Gray, Adam",Democratic,California,HOUSE,50.0,0,0.0,0.0,50.0
M001241,"Min, Dave",Democratic,California,HOUSE,50.0,0,0.0,0.0,50.0
M001232,"McClain Delaney, April",Democratic,Maryland,HOUSE,0.0,0,0.0,10.0,10.0
