bioguide_id,full_name,aipac_direct_amount_2022,aipac_earmark_amount_2022,aipac_ie_support_2022,aipac_ie_against_opp_2022,aipac_ie_total_2022,aipac_total_2022,dmfi_direct_2022,dmfi_earmark_2022,dmfi_ie_support_2022,dmfi_ie_against_opp_2022,dmfi_ie_total_2022,dmfi_total_2022,aipac_supported_2022,dmfi_supported_2022
C001072,"Carson, André",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
C001075,"Cassidy, Bill",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
C001080,"Chu, Judy",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
C001087,"Crawford, Eric A. ""Rick""",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
C001088,"Coons, Christopher A.",0.0,400.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
C001091,"Castro, Joaquin",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
C001095,"Cotton, Tom",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
C001096,"Cramer, Kevin",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
C001098,"Cruz, Ted",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
C001101,"Clark, Katherine M.",10000.0,35033.0,0.0,0.0,0.0,45033.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
C001103,"Carter, Earl L. ""Buddy""",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
C001108,"Comer, James",7900.0,2900.0,0.0,0.0,0.0,10800.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
C001110,"Correa, J. Luis",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
C001112,"Carbajal, Salud O.",2900.0,1000.0,0.0,0.0,0.0,3900.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
C001113,"Cortez Masto, Catherine",7900.0,38150.0,0.0,0.0,0.0,46050.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
C001114,"Curtis, John R.",7900.0,21250.0,0.0,0.0,0.0,29150.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
C001115,"Cloud, Michael",5000.0,2000.0,0.0,0.0,0.0,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
C001116,"Clyde, Andrew S.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
C001117,"Casten, Sean",0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,37492.0,502885.0,540377.0,542377.0,0,1
C001118,"Cline, Ben",10000.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
C001119,"Craig, Angie",10000.0,0.0,0.0,0.0,0.0,10000.0,2000.0,0.0,0.0,0.0,0.0,2000.0,1,1
C001120,"Crenshaw, Dan",7900.0,1300.0,0.0,0.0,0.0,9200.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
C001121,"Crow, Jason",10000.0,12300.0,0.0,0.0,0.0,22300.0,2000.0,0.0,0.0,0.0,0.0,2000.0,1,1
C001123,"Cisneros, Gilbert Ray",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
C001125,"Carter, Troy A.",10000.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
C001126,"Carey, Mike",5000.0,0.0,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
C001127,"Cherfilus-McCormick, Sheila",10000.0,28100.0,0.0,0.0,0.0,38100.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
C001129,"Collins, Mike",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
C001130,"Crockett, Jasmine",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
C001131,"Casar, Greg",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
C001132,"Crane, Elijah",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
C001133,"Ciscomani, Juan",0.0,16900.0,0.0,0.0,0.0,16900.0,0.0,0.0,0.0,24750.0,24750.0,24750.0,1,1
C001136,"Conaway, Herbert C.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
C001137,"Crank, Jeff",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
D000032,"Donalds, Byron",7900.0,17377.0,0.0,0.0,0.0,25277.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
D000096,"Davis, Danny K.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
D000197,"DeGette, Diana",2900.0,0.0,0.0,0.0,0.0,2900.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
